Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
"pemahaman tentang bagaimana informasi ilmiah dalam fisika diperoleh, diuji, dan divalidasi.","pemahaman bagaimana sebuah informasi diperoleh, diuji, dan divalidasi.",pemahaman  bagaimana informasi ilmiah  fisika diperoleh diuji  divalidasi,pemahaman bagaimana sebuah informasi diperoleh diuji  divalidasi,4.5,4.255192891171421
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","Menggunakan kata arkais
Bersifat istana sentris
Tokoh cerita
Dalam penceritaannya terdapat hal mustahil
Tidak diketahui siapa pengarangnya
Akhir cerita bahagia",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,menggunakan kata arkais bersifat istana sentris tokoh cerita  penceritaannya terdapat  mustahil  diketahui siapa pengarangnya akhir cerita bahagia,5.0,2.721439789591218
"karya sastra melayu berbentuk prosa yang berisi cerita, undang-undang dan silsilah bersifat rekaan, keagamaan, historis, biografis atau gabungan sifat-sifat itu","karya sastra lama berbentuk prosa yang berisi cerita, undang-undang, silsilah, yang bersifat rekaan, keagamaan, historis, atau biografis",karya sastra melayu berbentuk prosa  berisi cerita  silsilah bersifat rekaan keagamaan historis biografis  gabungan ,karya sastra lama berbentuk prosa  berisi cerita silsilah  bersifat rekaan keagamaan historis  biografis,5.0,4.658647267934829
kegiatan membandingkan nilai besaran yang diukur dengan besaran lain yang sejenis yang telah ditetapkan sebagai satuan.,"Fisika sebagai Proses sangat berkaitan dengan Fenomena, Dugaan, Pengamatan, Pengukuran, penyelidik, dan Publikasi",kegiatan membandingkan nilai besaran  diukur  besaran   sejenis   ditetapkan  satuan,fisika  proses sangat berkaitan  fenomena dugaan pengamatan pengukuran penyelidik  publikasi,0.0,0.4614465586276306
Secara langsung yaitu penggambaran tokoh berdasarkan watak yang dimiliki. Secara tidak langsung yaitu sesuai dengan cara tokoh berdialog dalam cerita,"secara analitik, yaitu penggambaran tokoh dengan cara tersurat atau secara langsung dengan cara melalui pengarang itu sendiri, secara tidak langsung, yaitu melalui percakapan antar tokoh, tindakan serta pendapat tokoh", langsung  penggambaran tokoh berdasarkan watak  dimiliki   langsung  sesuai  cara tokoh berdialog  cerita, analitik  penggambaran tokoh  cara tersurat   langsung  cara melalui pengarang  sendiri   langsung  melalui percakapan antar tokoh tindakan  pendapat tokoh,5.0,2.704827336429326
suatu cara sistematis yang digunakan untuk mengembangkan dan menemukan suatu ilmu pengetahuan.,suatu cara sistematis yang digunakan untuk mengumpulkan dan menemukan suatu ilmu pengetahuan.,suatu cara sistematis  digunakan  mengembangkan  menemukan suatu ilmu pengetahuan,suatu cara sistematis  digunakan  mengumpulkan  menemukan suatu ilmu pengetahuan,5.0,5.053660836591001
kegiatan melihat dan memperhatikan dengan teliti fenomena alam yang akan diamati,"Proses adalah pengetahuan yang diperoleh berdasarkan objek yang diteliti dan didukung oleh fakta empiris, tidak berdasarkan orang lain.",kegiatan melihat  memperhatikan  teliti fenomena alam   diamati,proses  pengetahuan  diperoleh berdasarkan objek  diteliti  didukung  fakta empiris  berdasarkan orang ,1.0,0.9780698708427588
gerak yang dilakukan sambil berpindah tempat,jenis gerakan yang dilakukan agar tubuh manusia dapat berpindah-pindah tempat,gerak  dilakukan  berpindah tempat,jenis gerakan  dilakukan  tubuh manusia  tempat,1.5,2.1841080755735702
penghubung antartulang dan keberadaannya memungkinkan tulang-tulang dapat digerakkan,pusat gerak,penghubung antartulang  keberadaannya memungkinkan  digerakkan,pusat gerak,0.5,0.32927126019171915
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah",pengenalan karakter awal muncul masalah klimaks : puncak masalah penyelesaian masalah ending,orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,pengenalan karakter awal muncul masalah klimaks puncak masalah penyelesaian masalah ending,2.5,2.5894879477743133
Periode waktu yang dibutuhkan dalam menampilkan tarian.,jumlah waktu yang di pakai menari,periode waktu  dibutuhkan  menampilkan tarian,jumlah waktu   pakai menari,2.5,1.791695514961803
gerak tangan memutar dan melambai dan diakhiri dengan posisi ngithing.,Gerakan tangan dan lengan dalam tari tradisional yang mengekspresikan emosi,gerak tangan memutar  melambai  diakhiri  posisi ngithing,gerakan tangan  lengan  tari tradisional  mengekspresikan emosi,1.0,1.3343954128503477
Pertanyaan-pertanyaan yang timbul terhadap suatu fenomena atau gejala alam dapat terjawab dengan penalaran dan pembuktian secara objektif melalui penelitian dengan adanya metode ilmiah.,Proses yang digunakan untuk mencari kebenaran tentang apa yang akan diteliti., timbul  suatu fenomena  gejala alam  terjawab  penalaran  pembuktian  objektif melalui penelitian  adanya metode ilmiah,proses  digunakan  mencari kebenaran  apa   diteliti,0.0,0.4115968092535771
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.",sikap yang bertanggung jawab dalam melakukan penelitian ilmiah.,pengetahuan sesuai  objek  diamati  didukung  fakta empiris  didasarkan atas orang ,sikap  bertanggung jawab  melakukan penelitian ilmiah,4.0,-0.04975597506082896
"Berfungsi mengawali, mengendalikan, dan menghentikan gerak.","Berfungsi mengawali,mengendalikan,dan menghentikan gerak",berfungsi mengawali mengendalikan  menghentikan gerak,berfungsi mengawali mengendalikan  menghentikan gerak,5.0,5.456463652416997
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","mengatur irama tari,membentuk suasana,mempertegas uangkapan gerak,menginspirasi gerak,mengingatkan gerak,mengidentifikasi gerak.",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,mengatur irama tari membentuk suasana mempertegas uangkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi gerak,5.0,4.983899621242747
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Observasi - Mengukur
Mengklasifikasi - Menyusun data
Membuat hipotesis - Membuat kesimpulan",mengamati observasi mengklasifikasi mengukur mengajukan pertanyaan merumuskan hipotesis merencanakan penelitian menafsirkan data mengkomunikasikan,observasi mengukur mengklasifikasi menyusun data membuat hipotesis membuat kesimpulan,2.5,3.029825045244976
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","Merumuskan masalah
Mengumpulkan informasi
Merancang dan melakukan eksperimen
Menganalisis data
Menyusun hipotesis
Membuat simpulan
Menulis laporan ilmiah",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah mengumpulkan informasi merancang  melakukan eksperimen menganalisis data menyusun hipotesis membuat simpulan menulis laporan ilmiah,5.0,4.939970250000946
"ruang riil atau ruang nyata mencakup tempat-tempat nyata, sedangkan ruang imajiner adalah ruang yang terbentuk dari pose dan gerak penari serta perpindahan posisi.","Ruang rill atau asli seperti ruangan studio,panggung. Ada juga ruangan imajiner,ruangan imajiner merupakan ruangan yang terbentuk dari adanya gerakan penari",ruang riil  ruang nyata mencakup nyata  ruang imajiner  ruang  terbentuk  pose  gerak penari  perpindahan posisi,ruang rill  asli  ruangan studio panggung   ruangan imajiner ruangan imajiner merupakan ruangan  terbentuk  adanya gerakan penari,3.0,2.54067269597277
"Pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan atas orang lain.","pengetahuan sesuai dengan objek yang diamati dan didukung oleh fakta empiris, tidak didasarkan pada orang lain.",pengetahuan sesuai  objek  diamati  didukung  fakta empiris  didasarkan atas orang ,pengetahuan sesuai  objek  diamati  didukung  fakta empiris  didasarkan  orang ,5.0,4.877730092961755
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","nilai moral : nilai moral adalah nilai yang bersifat baik dari cerita tersebut.
nilai pendidikan : yang mencakup ilmu pendidikan.
nilai agama : yang mencakup tentang agama.
nilai sosial : yang mencakup kehidupan sosial rakyat.
nilai budaya",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral nilai moral  nilai  bersifat baik  cerita tersebut nilai pendidikan  mencakup ilmu pendidikan nilai agama  mencakup  agama nilai sosial  mencakup kehidupan sosial rakyat nilai budaya,3.5,3.0804418775853613
gerak yang dilakukan sambil berpindah tempat,gerak yang dilakukan di suatu tempat tanpa berpindah posisi,gerak  dilakukan  berpindah tempat,gerak  dilakukan  suatu tempat  berpindah posisi,0.0,3.761237960147775
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","mengidentifikasi masalah, merumuskan masalah, membuat hipotesis, melakukan eksperimen, mengidentifikasikan masalah, menyelesaikan masalah, membuat kesimpulan",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,mengidentifikasi masalah merumuskan masalah membuat hipotesis melakukan eksperimen mengidentifikasikan masalah menyelesaikan masalah membuat kesimpulan,3.0,2.937589869871286
"musik pengiring, tata busana, tata rias, properti tari","Unsur pendukung dalam tari yaitu tata rias, tata busana, musik penggiring, properti tari",musik pengiring tata busana tata rias properti tari,unsur pendukung  tari  tata rias tata busana musik penggiring properti tari,5.0,4.197341470631452
"Ruang pribadi adalah  penari melakukan gerak tanpa berpindah tempat, atau jangkauan yang dapat dicapai bagian tubuh penari ketika bergerak. Sedangkan ruang umum adalah jika penari melakukan gerakan dengan berpindah tempat atau membentuk suatu pola yang biasa disebut pola lantai",Ruang pribadi artinya gerak tanpa berpindah tempat. Ruang umum artinya gerak berpindah tempat,ruang pribadi  penari melakukan gerak  berpindah tempat  jangkauan   dicapai bagian tubuh penari  bergerak  ruang umum   penari melakukan gerakan  berpindah tempat  membentuk suatu pola  biasa disebut pola lantai,ruang pribadi artinya gerak  berpindah tempat ruang umum artinya gerak berpindah tempat,2.5,2.0551248584788118
Keadaan sesungguhnya dari suatu benda atau fenomena alam yang terjadi,untuk mencari suatu fakta dalam barang/produk seperti pulpen digunakan untuk menulis,keadaan sesungguhnya  suatu benda  fenomena alam  terjadi, mencari suatu fakta   pulpen digunakan  menulis,0.5,0.5285090409451632
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah",Metode merumuskan,merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,metode merumuskan,0.0,1.6065339657308813
"Merumuskan masalah
Mengumpulkan informasi atau kajian pustaka
Menyusun hipotesis
Merancang dan melakukan eksperimen
Menganalisis data
Membuat simpulan
Menulis laporan ilmiah","Merumuskan masalah
Menentukan masalah
Menyusun hipotesis
merencanakan dan melakukan observasi
menganalisis data",merumuskan masalah mengumpulkan informasi  kajian pustaka menyusun hipotesis merancang  melakukan eksperimen menganalisis data membuat simpulan menulis laporan ilmiah,merumuskan masalah menentukan masalah menyusun hipotesis merencanakan  melakukan observasi menganalisis data,3.0,3.020472769445207
gerakan menoleh sambil menekukkan leher ke samping kiri atau kanan.,Gerakan menekukkan kepala ke kiri dan ke samping,gerakan menoleh  menekukkan leher  samping kiri  kanan,gerakan menekukkan kepala  kiri   samping,2.5,3.6269038974512355
"fakta, konsep, prinsip, hukum, rumus, teori, model","Fakta
Konsep
Prinsip
Hukum
Rumus
Teori
Model",fakta konsep prinsip hukum rumus teori model,fakta konsep prinsip hukum rumus teori model,5.0,5.456463652416997
Teori disusun untuk menjelaskan sesautu yang tidak dapat diamati secara langsung dan masih bersifat sementara.,Tujuan disusunnya teori agar penelitian bisa sesuai dengan logika dan nalar dan untuk menjelaskan sesuatu yang tidak bisa diamati secara langsung,teori disusun  menjelaskan sesautu    diamati  langsung   bersifat ,tujuan disusunnya teori  penelitian  sesuai  logika  nalar   menjelaskan     diamati  langsung,4.0,2.8418252246718065
Cepat lambatnya irama gerak serta hitungan gerak yang dalam hal ini berhubungan langsung dengan musik pengiring tari.,untuk mengetahui jedanya dan gerakannya saat melakukannya,cepat lambatnya irama gerak  hitungan gerak     berhubungan langsung  musik pengiring tari, mengetahui jedanya  gerakannya  melakukannya,0.0,0.17811872513156746
Pertanyaan-pertanyaan yang timbul terhadap suatu fenomena atau gejala alam dapat terjawab dengan penalaran dan pembuktian secara objektif melalui penelitian dengan adanya metode ilmiah.,langkah-langkah untuk menyelesaikan sebuah masalah. , timbul  suatu fenomena  gejala alam  terjawab  penalaran  pembuktian  objektif melalui penelitian  adanya metode ilmiah, menyelesaikan sebuah masalah,0.0,0.0821975243364037
"tungkai atas dan bawah, telapak kaki, jari-jari kaki.","Tulang anggota gerak bagian bawah tubuh manusia terdiri dari:
Tulang paha
Tulang kering
Tulang betis
Tulang pergelangan kaki
Tulang telapak kaki
Tulang jari kaki",tungkai atas  bawah telapak kaki kaki,tulang anggota gerak bagian bawah tubuh manusia terdiri  tulang paha tulang kering tulang betis tulang pergelangan kaki tulang telapak kaki tulang jari kaki,1.5,2.074197542943161
gerak yang dilakukan di suatu tempat tanpa berpindah posisi.,bergerak namun tidak berpindah tempat,gerak  dilakukan  suatu tempat  berpindah posisi,bergerak   berpindah tempat,2.5,2.3918982095954893
"Unsur-unsur yang memungkinkan gerak tari menjadi lebih bermakna dan lebih menarik, serta sesuai dengan isi tarian yang dikehendaki penata tari.",Unsur yg bertujuan untuk memperindah tari, memungkinkan gerak tari menjadi lebih bermakna  lebih menarik  sesuai  isi tarian  dikehendaki penata tari,unsur yg bertujuan  memperindah tari,1.0,1.327477000399202
"Abstraksi dari kejadian, fenomena, & fakta. Unsur konsep adalah nama, definisi, nilai dan contoh.","gambaran abstrak. Unsur konsep: nama, definisi, nilai, dan",abstraksi  kejadian fenomena fakta unsur konsep  nama definisi nilai  contoh,gambaran abstrak unsur konsep nama definisi nilai ,3.5,3.7431931397998053
perubahan posisi atau sikap anggota badan pada saat menari dan merupakan unsur utama dari tari,perubahan posisi atau sikap anggota badan pada saat menari dan merupakan unsur utama dari tari.,perubahan posisi  sikap anggota badan   menari  merupakan unsur utama  tari,perubahan posisi  sikap anggota badan   menari  merupakan unsur utama  tari,5.0,5.456463652416997
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","menceritakan tentang raja-raja atau kerajaan, bersifat anonim, bersifat statik (certia tidak berkembang), menggunakan bahasa arkais, selalu berakhir dengan bahagia, mengandung nilai-nilai tertentu",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,menceritakan   kerajaan bersifat anonim bersifat statik certia  berkembang menggunakan bahasa arkais selalu berakhir  bahagia mengandung tertentu,4.0,2.7456224461187997
"Berfungsi mengawali, mengendalikan, dan menghentikan gerak.","untuk memberi penegasan pada gerakan, mengendalikan, mengawali, dan menghentikan gerakan",berfungsi mengawali mengendalikan  menghentikan gerak, memberi penegasan  gerakan mengendalikan mengawali  menghentikan gerakan,3.5,2.9919825200621144
"berpusat atau bercerita tentang kerajaan (istana sentris), tidak diketahui nama pengarangnya (anonim) mengandung banyak nilai, terutama nilai moral bersifat statis tidak berkembang selalu berakhir dengan kemenangan tokoh utama (bahagia) arkais kemustahilan","Bersifat istanasentris
Mengandung hal mustahil
Anonim
Mengandung banyak nilai
Selalu berakhir tentang bahagia",berpusat  bercerita  kerajaan istana sentris  diketahui nama pengarangnya anonim mengandung banyak nilai terutama nilai moral bersifat statis  berkembang selalu berakhir  kemenangan tokoh utama bahagia arkais kemustahilan,bersifat istanasentris mengandung  mustahil anonim mengandung banyak nilai selalu berakhir  bahagia,4.0,3.2365897680304734
"pakaian dasar, pakaian kaki, pakaian tubuh, pakaian kepala, aksesori pelengkap.","pakaian tubuh,pakaian kaki, hiasan pada kepala,aksesoris,pakaian badan",pakaian dasar pakaian kaki pakaian tubuh pakaian kepala aksesori pelengkap,pakaian tubuh pakaian kaki hiasan  kepala aksesoris pakaian badan,4.0,4.029704363377173
Cepat lambatnya irama gerak serta hitungan gerak yang dalam hal ini berhubungan langsung dengan musik pengiring tari.,cepat atau lambatnya suatu gerakan dalam tari atau pengiring tari ( musik internal dan eksternal ),cepat lambatnya irama gerak  hitungan gerak     berhubungan langsung  musik pengiring tari,cepat  lambatnya suatu gerakan  tari  pengiring tari musik internal  eksternal,1.0,2.741870515939472
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","nilai religius (agama), moral, budaya, sosial, edukasi, pendidikan dan estetika (keindahan)",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai religius agama moral budaya sosial edukasi pendidikan  estetika keindahan,2.5,2.320193072876995
tema tokoh penokohan alur latar sudut pandang amanat,"Tema
Tokoh
Penokohan
Alur
Latar
Sudut pandang
Amanat",tema tokoh penokohan alur latar sudut pandang amanat,tema tokoh penokohan alur latar sudut pandang amanat,5.0,5.456463652416997
"Berfungsi mengawali, mengendalikan, dan menghentikan gerak.","berfungsi untuk memperindah gerakan tari,dan membuat tarian lebih semangat",berfungsi mengawali mengendalikan  menghentikan gerak,berfungsi  memperindah gerakan tari  membuat tarian lebih semangat,0.0,1.3263167984445778
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel terkontrol adalah,variabel   dipertahankan tetap selama penelitian   memengaruhi variabel terikat,variabel terkontrol ,0.0,2.464854530903099
jawaban sementara dari masalah yang diteliti sehingga kebenarannya harus diuji secara empiris.,Hipotesis dalam merumuskan masalah atau mengumpulkan hipotesis suatu sebagian hal yang kita lakukan dalam menyelesaikan masalah,jawaban   masalah  diteliti  kebenarannya  diuji  empiris,hipotesis  merumuskan masalah  mengumpulkan hipotesis suatu sebagian    lakukan  menyelesaikan masalah,0.5,0.8745348562695576
"Orientasi: Pengenalan tokoh-tokoh dalam cerita.
Pemunculan Konflik: Awal kemunculan konflik dalam suatu cerita.
Komplikasi: Peningkatan konflik yang membuat konflik mulai memuncak.
Klimaks: Puncak konflik atau masalah paling intens.
Resolusi: Penyelesaian masalah","Orientasi: Pengenalan pada alur
Pemunculan konflik: adanya konflik dalam alur
Puncak konflik: Puncak dalam suatu konflik
Klimaks: Inti dari suatu konflik
Resolusi: kesimpulan dari alur",orientasi pengenalan  cerita pemunculan konflik awal kemunculan konflik  suatu cerita komplikasi peningkatan konflik  membuat konflik mulai memuncak klimaks puncak konflik  masalah paling intens resolusi penyelesaian masalah,orientasi pengenalan  alur pemunculan konflik adanya konflik  alur puncak konflik puncak  suatu konflik klimaks inti  suatu konflik resolusi kesimpulan  alur,3.5,3.2677926248062947
Periode waktu yang dibutuhkan dalam menampilkan tarian.,Jumlah durasi dari awal hingga akhir tari.,periode waktu  dibutuhkan  menampilkan tarian,jumlah durasi  awal hingga akhir tari,2.0,1.0079116865012516
"tungkai atas dan bawah, telapak kaki, jari-jari kaki.","tungkai atas dan bawah ,telapak kaki dan jari jari",tungkai atas  bawah telapak kaki kaki,tungkai atas  bawah telapak kaki  jari jari,5.0,4.353233141707211
kegiatan melihat dan memperhatikan dengan teliti fenomena alam yang akan diamati,Mengamati suatu proses kejadian.,kegiatan melihat  memperhatikan  teliti fenomena alam   diamati,mengamati suatu proses kejadian,1.0,1.1611733507591604
"Variabel bebas
Variabel terkait
Variabel terkontrol","

Variable bebas
Variable terikat
Variable terkontrol",variabel bebas variabel terkait variabel terkontrol,variable bebas variable terikat variable terkontrol,5.0,4.655280519582431
"fakta, konsep, prinsip, hukum, rumus, teori, model","konsep
fakta
hukum
teori
prinsip
rumus
model",fakta konsep prinsip hukum rumus teori model,konsep fakta hukum teori prinsip rumus model,5.0,5.456463652416997
tema tokoh penokohan alur latar sudut pandang amanat,"Judul
Tema
Tokoh/penokohan
Alur
Sudut pandang
Amanat/pesan tersirat
Latar tempat
Latar waktu",tema tokoh penokohan alur latar sudut pandang amanat,judul tema alur sudut pandang tersirat latar tempat latar waktu,5.0,3.374077780027371
"Nilai moral, yaitu nilai yang berkaitan dengan baik buruknya tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain
Nilai religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat saat itu.
Nilai pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.","Nilai moral, yaitu nilai yang berkaitan dengan sikap baik buruk suatu tokoh.
Nilai sosial, yaitu nilai yang berkaitan dengan sikap tokoh dalam hubungannya dengan tokoh lain.
Nilai Religi, yaitu nilai yang berhubungan dengan hubungan manusia dengan Tuhan.
Nilai Budaya, yaitu nilai yang berkaitan dengan kebiasaan masyarakat yang ada pada saat itu.
Nilai Pendidikan, yaitu nilai yang berkaitan dengan upaya seseorang mencari ilmu pengetahuan.",nilai moral  nilai  berkaitan  baik buruknya tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat   nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,nilai moral  nilai  berkaitan  sikap baik buruk suatu tokoh nilai sosial  nilai  berkaitan  sikap tokoh  hubungannya  tokoh  nilai religi  nilai  berhubungan  hubungan manusia  tuhan nilai budaya  nilai  berkaitan  kebiasaan masyarakat      nilai pendidikan  nilai  berkaitan  upaya seseorang mencari ilmu pengetahuan,5.0,5.16424523516796
"Mengatur irama tari, membentuk suasana, mempertegas ungkapan gerak, menginspirasi gerak, mengingatkan gerak, mengidentifikasi tari","memberikan tuntunan irama, ketukan, serta tempo",mengatur irama tari membentuk suasana mempertegas ungkapan gerak menginspirasi gerak mengingatkan gerak mengidentifikasi tari,memberikan tuntunan irama ketukan  tempo,0.5,1.1747951718969496
