Original Sentence 1,Original Sentence 2,Preprocessed Sentence 1,Preprocessed Sentence 2,True Similarity Score,Predicted Similarity Score
You implement a list in which the head pointer points to the element most recently pushed onto the list and the pop function changes the head pointer to point to the next to last element in the list and removes the element head pointer previously pointed to,Create a new list Pop elements in the stack as needed Push the stack to remove items unless the stack is empty The top item is at the head of the list The last item is at the end,implement list head pointer points element recently pushed onto list pop function changes head pointer point next last element list removes element head pointer previously pointed,create new list pop elements stack needed push stack remove items unless stack empty top item head list last item end,4.5,4.182934239438257
log - LRB - log n - RRB - 2 to the power of - LRB - log n - RRB - n to the power of 2 n to the power of 3 n !,from lowest to highest 1 - long - LRB - long n - RRB - 2 minus 2 to the power of log - LRB - n - RRB - 3 minus n to the power of 2 4 minus N to the power of 3 5 minus n !,log lrb log n rrb power lrb log n rrb n power n power n,lowest highest long lrb long n rrb minus power log lrb n rrb minus n power minus n power minus n,5.0,4.5965126138554755
Experimental means you would actually write a prototype of the algorithm and measure the time it takes to run given certain parameters,adding up the number of operations performed based on the worst case possible,experimental means would actually write prototype algorithm measure time takes run given certain parameters,adding number operations performed based worst case possible,2.5,3.019772720540831
Experimental means you would actually write a prototype of the algorithm and measure the time it takes to run given certain parameters,Big O - LRB - h - RRB - notation,experimental means would actually write prototype algorithm measure time takes run given certain parameters,big lrb h rrb notation,2.5,2.985613570782818
Linked lists are passed as arguments to a function by passing the head pointer of the list by reference,passes a pointer to a linked list object,linked lists passed arguments function passing head pointer list reference,passes pointer linked list object,2.5,4.257569434379392
It avoids making copies of large data structures when calling functions,Actual arguments are associated with dummy arguments when a function or subroutine is referenced In a procedure reference the actual argument list identifies the correspondence between the actual arguments provided in the list and the dummy arguments of the subprogram,avoids making copies large data structures calling functions,actual arguments associated dummy arguments function subroutine referenced procedure reference actual argument list identifies correspondence actual arguments provided list dummy arguments subprogram,3.0,2.8050564290657967
it scans the list and selects the smallest - LRB - largest - RRB - element and places it in the front increment the curPtr by one scan the list again for the next smallest - LRB - largest - RRB - element and place it in with respect with the other sorted elements,Selection sort searches the array for the lowest value and swaps it with the first value in the array Then searches for the next lowest value and swaps it with the second item in the array and so on,scans list selects smallest lrb largest rrb element places front increment curptr one scan list next smallest lrb largest rrb element place respect sorted elements,selection sort searches array lowest value swaps first value array searches next lowest value swaps second item array,5.0,4.0868731518818455
As many as you want so long as they have different parameters,one,many want long different parameters,one,0.0,2.3990691514505933
A variable is a location in memory where a value can be stored,A variable is a location in a computers memory where a value can be stored for use by a program,variable location memory value stored,variable location computers memory value stored use program,5.0,4.508955108457161
Variables can be declared anywhere in a program They can be declared inside a function - LRB - local variables - RRB - or outside the functions - LRB - global variables - RRB -,Variables are usually declared at the beginning of a module of C plus plus code,variables declared anywhere program declared inside function lrb local variables rrb outside functions lrb global variables rrb,variables usually declared beginning module c plus plus code,2.5,4.1023703595002745
To store a class interface including data members and member function prototypes,A header file is a cross communication method between source files to help limit the size of each individual program Without header files a program will be 1 large lump of code and thus fairly hard to debug and traverse,store class interface including data members member function prototypes,header file cross communication method source files help limit size individual program without header files program large lump code thus fairly hard debug traverse,3.5,3.2084423151122445
The static arrays are intialized only once when the function is called,Arrays declared static can not be changed One not declared static can be altered,static arrays intialized function called,arrays declared static changed one declared static altered,2.5,4.306883160689595
Using an index outside the bounds of the array generates a run - time error,compilation error,using index outside bounds array generates run time error,compilation error,1.0,4.367222377504146
Extra space required to store the back pointers,The process of adding and removing Nodes in a Doubly linked list is more complex than in a basic linked list,extra space required store back pointers,process adding removing nodes doubly linked list complex basic linked list,3.5,3.766661069439433
do while statements evaluate whether or not to loop after running the block contained within it at least once So the main differance is that while statements have a possibility of never being used Do while statements on the other hand are always run at least once before evaluating whether to run again,do while statements evaluate whether or not to loop after running the block contained within it at least once So the main differance is that while statements have a possibility of never being used Do while statements on the other hand are always run at least once before evaluating whether to run again,statements evaluate whether loop running block contained within least main differance statements possibility never used statements hand always run least evaluating whether run,statements evaluate whether loop running block contained within least main differance statements possibility never used statements hand always run least evaluating whether run,5.0,4.681306842364733
A pointer that points to the memory address of the beginning part of a functions pretty much the pointer points to the function so it can be called to execute,A pointer that points to the memory address of the beginning part of a functions pretty much the pointer points to the function so it can be called to execute,pointer points memory address beginning part functions pretty much pointer points function called execute,pointer points memory address beginning part functions pretty much pointer points function called execute,5.0,4.681306842364733
Nonconstant pointer to nonconstant data nonconstant pointer to constant data constant pointer to nonconstant data constant pointer to constant data,Nonconstant pointer to nonconstant data constant pointer to nonconstant data nonconstant pointer to constant data constant pointer to constant data,nonconstant pointer nonconstant data nonconstant pointer constant data constant pointer nonconstant data constant pointer constant data,nonconstant pointer nonconstant data constant pointer nonconstant data nonconstant pointer constant data constant pointer constant data,5.0,4.681306842364733
by reference only,you pass a pointer to the first item and also pass the size,reference,pass pointer first item also pass size,3.5,3.927974290167776
By using constructors,Objects are usually initialized at the beginning of the program and are initialized usually in the main function They are initialized after the class name,using constructors,objects usually initialized beginning program initialized usually main function initialized class name,2.5,3.5212842371676043
As many as you want so long as they have different parameters,one,many want long different parameters,one,0.0,2.3990691514505933
Local variables are declared inside the method or function they will be used in at the beginning of the method Global variables are declared outside of any function or method generally before functions are defined,Inside the method,local variables declared inside method function used beginning method global variables declared outside function method generally functions defined,inside method,2.5,4.488558456213997
It uses the divide and conqure technique recursively and then when merging back together it compares each element together in a sorted list this is done by reversing the divide and conquer technique,Take an array and split it into two then solve these simpler problems and merge the two answers in correct order,uses divide conqure technique recursively merging back together compares element together sorted list done reversing divide conquer technique,take array split two solve simpler problems merge two answers correct order,5.0,3.768621655593277
Link - based because they are dynamic - LRB - no size constraints - RRB -,list based because the nodes are easier to work with and can be traversed easier,link based dynamic lrb size constraints rrb,list based nodes easier work traversed easier,3.0,3.4229174625734036
The name of the function and the types of the parameters,a function return type and parameter list,name function types parameters,function return type parameter list,3.0,4.337677296168204
The inline keyword advises the compiler to copy the function code in place to avoid function calls; however the compiler can and typically does ignore the inline qualifier for all but the smallest functions,If the function is small enough it will expand it but it will run faster as it will avoid making so many calls to the function,inline keyword advises compiler copy function code place avoid function calls however compiler typically ignore inline qualifier smallest functions,function small enough expand run faster avoid making many calls function,4.5,4.044430682794063
A local variable cannot be accessed outside the function in which it is declared Data members normally are private Variables of functions declared private are accessible only to member functions of the class in which they are declared,A local variable can only be accessed within the scope of its declaration,local variable accessed outside function declared data members normally private variables functions declared private accessible member functions class declared,local variable accessed within scope declaration,3.5,4.260447894582367
As many as you want so long as they have different parameters,As many as are needed depending on how many variables one wishes to directly modify or leave as default when instantiating an object,many want long different parameters,many needed depending many variables one wishes directly modify leave default instantiating object,5.0,3.7464997234593698
they take up twice as much memory for each node,Each node requires an extra node requires more memory and is more difficult to insert and remove individual nodes,take twice much memory node,node requires extra node requires memory difficult insert remove individual nodes,5.0,3.8542962618291963
A collection of elements that can be allocated dynamically,linear collection of self - referential nodes connected by pointers,collection elements allocated dynamically,linear collection self referential nodes connected pointers,4.0,3.617398313538974
The height of a tree is the number of nodes on the longest path from the root to a leaf,The height of a tree is the number of nodes on the longes path from the root to a leaf,height tree number nodes longest path root leaf,height tree number nodes longes path root leaf,5.0,4.67270626373181
Unlimited number,It depends on the number of objects Each object should have a constructor,unlimited number,depends number objects object constructor,2.5,3.5266697868109684
Its a location in memory that contains the memory address of another location in memory that contains information,A pointer variable contains the number of a memory address as its value which may be null or 0 or the address of some value stored in memory,location memory contains memory address another location memory contains information,pointer variable contains number memory address value may null address value stored memory,5.0,4.423214266202527
File scope,The entire program,file scope,entire program,4.5,3.241711207873018
a header file is a file used to store a list of prototye functions and data members,Header files have reusable source code in a file that a programer can use,header file file used store list prototye functions data members,header files reusable source code file programer use,2.5,4.013603541570544
A list can have unlimited elements in it You can push a node onto the end of the list and pop the one in the front,Have a pointer to the last element in the list and then use enqueue to insert items there Link the first and last elements together to dequeue the list,list unlimited elements push node onto end list pop one front,pointer last element list use enqueue insert items link first last elements together dequeue list,3.5,4.3130229028307685
A tree data structure where each node has a value where the total order is defined on these values the left subtree contains only values less than the parent node and vice versa for the right subtree,it is a binary tree where each node has a value a total order is defined on these values the left subtree of a node contains only values less than the node value and the right subtree of a node contains only values greater than or equal to the node value,tree data structure node value total order defined values left subtree contains values less parent node vice versa right subtree,binary tree node value total order defined values left subtree node contains values less node value right subtree node contains values greater equal node value,5.0,4.6168888339708145
A leaf is a child of a parent node that has no children nodes of its own,A leaf is a node with no children,leaf child parent node children nodes,leaf node children,5.0,4.6152336070897
The static arrays are intialized only once when the function is called,static arrays cannot be changed while normal arrays can be changed,static arrays intialized function called,static arrays changed normal arrays changed,2.5,4.121558148269765
Any functions that follows their deceleration that are in the source code file are allowed to have access the variables Also global scope variables retrain their value throughout the execution of the program,the whole code,functions follows deceleration source code file allowed access variables also global scope variables retrain value throughout execution program,whole code,4.5,3.583152046576675
Taking one array element at a time from left to right it inserts it in the right position among the already sorted elements on its left,it goes through the list only once picking each integer and putting it in its desired position then continuing,taking one array element time left right inserts right position among already sorted elements left,goes list picking integer putting desired position continuing,4.0,3.7523498233492223
The array that is declared static retains its modified elements so once it is called upon again the latest elements are modified again An array that is not declared static will keep its original elements,A static array has class scope allowing it to remain where other arrays might be recycled,array declared static retains modified elements called upon latest elements modified array declared static keep original elements,static array class scope allowing remain arrays might recycled,4.0,3.7240679414752096
A linked list is a data structure that is not necessarily in the same contiguous memory space - LRB - such as arrays - RRB - It holds the data type and points to the next data item in the list or in a doubly linked list also to the previous item,Information in memory linked to the next piece of information and can only be linked forwards and not backwards,linked list data structure necessarily contiguous memory space lrb arrays rrb holds data type points next data item list doubly linked list also previous item,information memory linked next piece information linked forwards backwards,3.5,4.136429818436938
They both involve repetition; they both have termination tests; they can both occur infinitely,As discussed earlier recursion may be used to process iterative actions Recursion is used for calculations where the answer can be described in a function that relates to itself,involve repetition termination tests occur infinitely,discussed earlier recursion may used process iterative actions recursion used calculations answer described function relates,2.0,3.6743581462260186
Returns size of operand in bytes,sizeof returns the size of the operand in bytes,returns size operand bytes,sizeof returns size operand bytes,5.0,4.6770650428207325
Returns size of operand in bytes,sizeof returns the size of the operand in bytes,returns size operand bytes,sizeof returns size operand bytes,5.0,4.6770650428207325
Iteration performers a series of checks and loops,Another alternative way to solve a problem instead of using recursive functions is by using iteration,iteration performers series checks loops,another alternative way solve problem instead using recursive functions using iteration,5.0,3.2830512401747844
A pointer that points to the memory address of the beginning part of a functions pretty much the pointer points to the function so it can be called to execute,A function pointer contains the memory address of a function Using a function pointer a function can be passed to or returned by another function Function pointers can also be stored in arrays,pointer points memory address beginning part functions pretty much pointer points function called execute,function pointer contains memory address function using function pointer function passed returned another function function pointers also stored arrays,5.0,4.097621573752034
a queue otherwise some things would never be printed,a queue,queue otherwise things would never printed,queue,5.0,3.860313186674672
In a circular linked list every node has a successor which means that the last node successor is the head or first node,In a regular linked list the last object points to NULL In a circular linked list the last object points back to the beginning of the list,circular linked list every node successor means last node successor head first node,regular linked list last object points null circular linked list last object points back beginning list,5.0,4.157667331324403
Insertion sort divides the list into sorted and unsorted regions then takes each item from the unsorted region and inserts it into its correct order in the sorted region,Compare two numbers at a time and swap until the entire list is sorted,insertion sort divides list sorted unsorted regions takes item unsorted region inserts correct order sorted region,compare two numbers time swap entire list sorted,2.0,4.059125873263919
A data structure that stores elements following the first in first out principle The main operations in a queue are enqueue and dequeue,like a linked list except it is first in last out,data structure stores elements following first first principle main operations queue enqueue dequeue,like linked list except first last,2.5,4.1198054758559985
A function prototype includes the function signature i e the name of the function the return type and the parameters type The function definition includes the actual body of the function,a prototype declares what will be used in the program and the definition,function prototype includes function signature e name function return type parameters type function definition includes actual body function,prototype declares used program definition,3.0,4.006253139724617
A variable in memory that hold the address of another memory location to which it points too,a pointer is a memory address that points to a data member,variable memory hold address another memory location points,pointer memory address points data member,5.0,4.31323889961044
linked list based because it does not store the items linearly in memory but instead as individual blocks,list based is preferred because memory allocation is not an issue,linked list based store items linearly memory instead individual blocks,list based preferred memory allocation issue,5.0,4.20800805271791
The name of the function and the list of parameters including their types,a function signature should include the name of the function parameters and a body,name function list parameters including types,function signature include name function parameters body,4.0,4.338933535234931
By reference,you send a pointer to an object of the LinkedList class,reference,send pointer object linkedlist class,2.5,3.3770745036436676
Extra space required to store the back pointers,its a little more confusing The special cases at the end and beginning become more difficult to do,extra space required store back pointers,little confusing special cases end beginning become difficult,3.0,3.3830999605864607
Push,enqueue corresponds with push dequeue corresponds with pop,push,enqueue corresponds push dequeue corresponds pop,4.5,4.392668684190722
This type of programming is more flexible making it easier to add and modify the program It is also a type of a fail safe program you check each individual module This eliminates redundant code and makes the program easier to read for other programmers When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program,Re - usability and ease of maintenance,type programming flexible making easier add modify program also type fail safe program check individual module eliminates redundant code makes program easier read programmers debugging program easier track source problem within module rather million line program,usability ease maintenance,4.0,3.71698877051272
Keep the top of the stack pointing to the head of the linked list so the push and pop operations will add or remove elements at the beginning of the list,Use head as the top and push and pop nodes from the head,keep top stack pointing head linked list push pop operations add remove elements beginning list,use head top push pop nodes head,4.5,4.45451898034742
To simulate the behaviour of portions of the desired software product,To provide an example or model of how the finished program should perfom Provides forsight of some of the challanges that would be encountered Provides opportunity To introduce changes To the finished program,simulate behaviour portions desired software product,provide example model finished program perfom provides forsight challanges would encountered provides opportunity introduce changes finished program,3.5,3.1548364947896
A location in memory that can store a value,It is a sybol or name for a value or number Example : a used number can stand for any given number and the programmer can refer to that number by using the variable name,location memory store value,sybol name value number example used number stand given number programmer refer number using variable name,4.0,3.332633278492981
There are four ways : nonconstant pointer to constant data nonconstant pointer to nonconstant data constant pointer to constant data constant pointer to nonconstant data,there are only two ways to pass something by value and by reference Use of dot or pointer operators within the receiving function and use of ADDRESS operator inside the passing function,four ways nonconstant pointer constant data nonconstant pointer nonconstant data constant pointer constant data constant pointer nonconstant data,two ways pass something value reference use dot pointer operators within receiving function use address operator inside passing function,2.5,3.686833419689096
Data members - LRB - attributes - RRB - and member functions,member functions,data members lrb attributes rrb member functions,member functions,3.5,4.33179755846656
it scans the list and selects the smallest - LRB - largest - RRB - element and places it in the front increment the curPtr by one scan the list again for the next smallest - LRB - largest - RRB - element and place it in with respect with the other sorted elements,by selecting the first object and comparing it with the next objects to find one that is smaller if it does it switches the two then it comes back the other way and sees if the objects previous to the last one is greater if it does it switches them it does this while decreasing the range it looks at until it finishes in the middle,scans list selects smallest lrb largest rrb element places front increment curptr one scan list next smallest lrb largest rrb element place respect sorted elements,selecting first object comparing next objects find one smaller switches two comes back way sees objects previous last one greater switches decreasing range looks finishes middle,2.5,3.816269377636213
They are converted to post fix expressions It still follow the order of precedence for the operators,Computers cannot evaulate infix expressions it must first convert infix to postfix expression then it can evaluate,converted post fix expressions still follow order precedence operators,computers evaulate infix expressions must first convert infix postfix expression evaluate,5.0,4.121841728241394
This operator returns the memory address of its operand,The ADDRESS operator returns the memory address of the variable it precedes,operator returns memory address operand,address operator returns memory address variable precedes,5.0,4.607268669707484
A leaf is a child of a parent node that has no children nodes of its own,A new item to the tree - - a child,leaf child parent node children nodes,new item tree child,3.0,4.173551626726756
enqueue which adds data to the queue and dequeue which deletes data from the queue,rear and front,enqueue adds data queue dequeue deletes data queue,rear front,2.5,3.5897487049825347
The elements in an array can be accessed directly - LRB - as opposed to linked lists which require iterative traversal - RRB -,You have to keep up with the head of the list,elements array accessed directly lrb opposed linked lists require iterative traversal rrb,keep head list,2.0,3.3267450086939885
Push,Push in a stack operation corresponds to the enqueue operation in queues These operations insert a new item into one end - LRB - the top and back respectively - RRB - of the ADT,push,push stack operation corresponds enqueue operation queues operations insert new item one end lrb top back respectively rrb adt,5.0,4.3468100082396175
A collection of nodes which has a special node called root and the rest of the nodes are partitioned into one or more disjoint sets each set being a tree,A Tree is a data structure with one or more data nodes each of which contains some data Each node itself can have a number of attached child nodes creating the branched structure Trees are named for,collection nodes special node called root rest nodes partitioned one disjoint sets set tree,tree data structure one data nodes contains data node number attached child nodes creating branched structure trees named,4.5,4.2060793496645985
Searches an array for the largest or the smallest element and is moved out to the front of the array then it will search for the next largest or the smallest element to move out to the front,The main idea behind selection sort is to take the least variable from the right and put it directly to the left,searches array largest smallest element moved front array search next largest smallest element move front,main idea behind selection sort take least variable right put directly left,4.5,3.654035588512251
Overall the program has better performance - LRB - means it is faster - RRB - because it does not have to copy large amounts of data,if you pass by reference you can modify the value as opposed to passing by value where you cannot change the value,overall program better performance lrb means faster rrb copy large amounts data,pass reference modify value opposed passing value change value,3.5,3.2584372620351907
the type char has a null - LRB - n - RRB - element at the very end,String of characters are followed by a null statement type string is for example string s;,type char null lrb n rrb element end,string characters followed null statement type string example string,5.0,3.821710610441099
The inline keyword advises the compiler to copy the function code in place to avoid function calls; however the compiler can and typically does ignore the inline qualifier for all but the smallest functions,tells the compiler to make a copy of function code in place to avoid a function call it typically ignores it except for the smallest functions,inline keyword advises compiler copy function code place avoid function calls however compiler typically ignore inline qualifier smallest functions,tells compiler make copy function code place avoid function call typically ignores except smallest functions,5.0,4.5870790330889175
The height of a tree is the number of nodes on the longest path from the root to a leaf,the number of levels of a tree like a tree can have at minimum a depth of 3 and at most a height of 8 for 8 nodes,height tree number nodes longest path root leaf,number levels tree like tree minimum depth height nodes,3.5,4.570959431423446
Data members can be accessed from any member functions inside the class defintion Local variables can only be accessed inside the member function that defines them,A local variable can only be accessed within the scope of its declaration,data members accessed member functions inside class defintion local variables accessed inside member function defines,local variable accessed within scope declaration,3.5,4.255880303637834
A tree data structure where each node has a value where the total order is defined on these values the left subtree contains only values less than the parent node and vice versa for the right subtree,A binary search tree is a finite set of nodes that is either empty or consits of a root and two disjoint binary trees call the left and right subtrees,tree data structure node value total order defined values left subtree contains values less parent node vice versa right subtree,binary search tree finite set nodes either empty consits root two disjoint binary trees call left right subtrees,2.5,3.8276163934924554
Elements can be inserted into a link list at any point and does not need to be resized unlike an array needs to be,Linked lists have an indefinite size They can be added to and taken away from very easily with little difficulty in the shifting of data,elements inserted link list point need resized unlike array needs,linked lists indefinite size added taken away easily little difficulty shifting data,5.0,3.8182115524221425
A function prototype includes the function signature i e the name of the function the return type and the parameters type The function definition includes the actual body of the function,Function prototype is located in the h file and only contains the access function name and paramater type Function definition contains the code for the function to perform its activity,function prototype includes function signature e name function return type parameters type function definition includes actual body function,function prototype located h file contains access function name paramater type function definition contains code function perform activity,4.5,4.373157124780645
Any functions that follows their deceleration that are in the source code file are allowed to have access the variables Also global scope variables retrain their value throughout the execution of the program,The entire program or file,functions follows deceleration source code file allowed access variables also global scope variables retrain value throughout execution program,entire program file,5.0,4.2007021075896676
Linked lists are passed as arguments to a function by passing the head pointer of the list by reference,Passing the head pointer of a linked list to a function gives that function access to all nodes of that linked list,linked lists passed arguments function passing head pointer list reference,passing head pointer linked list function gives function access nodes linked list,4.5,4.471367402747571
A function prototype tells the compiler the function name return type and the number and type of parameters without revealing the implementations contained in the function definition,A prototype only declares name return type and input type A definition also defines the scope variables process and return function,function prototype tells compiler function name return type number type parameters without revealing implementations contained function definition,prototype declares name return type input type definition also defines scope variables process return function,4.5,4.398202422892919
Unlimited number,1,unlimited number,,0.0,0.9143373749338901
This type of programming is more flexible making it easier to add and modify the program It is also a type of a fail safe program you check each individual module This eliminates redundant code and makes the program easier to read for other programmers When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program,Reusable components Extensibility Maintainability it reduces large problems into smaller more manageable problems,type programming flexible making easier add modify program also type fail safe program check individual module eliminates redundant code makes program easier read programmers debugging program easier track source problem within module rather million line program,reusable components extensibility maintainability reduces large problems smaller manageable problems,4.0,3.410854424128461
Traverse the left subtree then the root then the right subtree,it means that you traverse one subtree of a node then look at the node itself before traversing the other subtree of the node,traverse left subtree root right subtree,means traverse one subtree node look node traversing subtree node,4.0,4.41296384938148
The elements typically included in a class definition are the function prototypes usually declared public and the data members used in the class which are usually declared private,The variables and function prototypes,elements typically included class definition function prototypes usually declared public data members used class usually declared private,variables function prototypes,4.0,4.375718999267063
Public and private specifiers,The access - specifiers that can be used in a C plus plus class definition is private and public,public private specifiers,access specifiers used c plus plus class definition private public,5.0,4.395922332147105
do while statements evaluate whether or not to loop after running the block contained within it at least once So the main differance is that while statements have a possibility of never being used Do while statements on the other hand are always run at least once before evaluating whether to run again,Do while runs the embedded code at least once the do command does not necessarily,statements evaluate whether loop running block contained within least main differance statements possibility never used statements hand always run least evaluating whether run,runs embedded code least command necessarily,4.0,3.7582782838171633
Log - LRB - n - RRB - where n is the number of nodes,log n,log lrb n rrb n number nodes,log n,5.0,4.504066665747405
a static array will store the new values that were assigned to each of its elements meaning if you call a function twice it will use the last values that were returned the first time if you do not declare it static then the new values will not be stored and will be reset to their original value,A static local array exists for the duration of the program and its elements are initialized to 0 if not explicitly initialized So a static local array elements will still be the same when called later unless specifically initialized to something else This does not happen for automatic arrays,static array store new values assigned elements meaning call function twice use last values returned first time declare static new values stored reset original value,static local array exists duration program elements initialized explicitly initialized static local array elements still called later unless specifically initialized something else happen automatic arrays,5.0,3.9114395346087525
Insertion sort divides the list into sorted and unsorted regions then takes each item from the unsorted region and inserts it into its correct order in the sorted region,Starting at the beginning of an array take each element in order and place it in it is correct position relative to all previously sorted elements,insertion sort divides list sorted unsorted regions takes item unsorted region inserts correct order sorted region,starting beginning array take element order place correct position relative previously sorted elements,5.0,4.149452717830982
A constructor is called whenever an object is created whereas a function needs to be called explicitely Constructors do not have return type but functions have to indicate a return type,A constructor is used to create an instance of a class and has the same name as that class A function cannot have the same name as a class and computes data,constructor called whenever object created whereas function needs called explicitely constructors return type functions indicate return type,constructor used create instance class name class function name class computes data,4.0,4.226750151666546
Using linked lists and stacks you would need a temp stack to retain the values Then you would use the Pop - LRB - - RRB - function to pop off each element and then compare it If its not the element your looking for Push - LRB - - RRB - it to the temp stack Repeat until the element is found When you find it Pop - LRB - - RRB - off the temp stack back onto the regular stack to have a complete stack again,Push adds a given node to the top of the stack leaving previous nodes below Pop removes and returns the current top node of the stack,using linked lists stacks would need temp stack retain values would use pop lrb rrb function pop element compare element looking push lrb rrb temp stack repeat element found find pop lrb rrb temp stack back onto regular stack complete stack,push adds given node top stack leaving previous nodes pop removes returns current top node stack,3.0,4.138271179757075
Its a location in memory that contains the memory address of another location in memory that contains information,An element that references a memory cell,location memory contains memory address another location memory contains information,element references memory cell,5.0,3.851413086519827
A function prototype tells the compiler the function name return type and the number and type of parameters without revealing the implementations contained in the function definition,A function prototype describes the class public interface without providing how the function works A function definition contains the inner workings of the function,function prototype tells compiler function name return type number type parameters without revealing implementations contained function definition,function prototype describes class public interface without providing function works function definition contains inner workings function,4.5,4.285227799562047
Keep the top of the stack toward the end of the array so the push and pop operations will add or remove elements from the right side of the array,if you used an array to implement a stack when you add an element just add it to the end of an array and remove items from end of array also,keep top stack toward end array push pop operations add remove elements right side array,used array implement stack add element add end array remove items end array also,4.5,4.404607558166714
It will do - LRB - n - RRB - operations where - LRB - n - RRB - is the number of elements in the array Best case is when all the elements are already sorted,1 where there is a list of two ints and only one must be moved,lrb n rrb operations lrb n rrb number elements array best case elements already sorted,list two ints one must moved,2.5,3.4156501364120126
Unlike in a string declared using type string in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character,if by type string the array contains an additional terminating null character,unlike string declared using type string string declared using array characters programmer must provide null terminating character must ensure array large enough hold string null terminating character,type string array contains additional terminating null character,4.0,4.558046326650272
A linked list is a data structure that is not necessarily in the same contiguous memory space - LRB - such as arrays - RRB - It holds the data type and points to the next data item in the list or in a doubly linked list also to the previous item,A linked list is a chain of nodes that each store a single piece of data and pointer variables that point to other nodes in the list,linked list data structure necessarily contiguous memory space lrb arrays rrb holds data type points next data item list doubly linked list also previous item,linked list chain nodes store single piece data pointer variables point nodes list,4.5,4.2952718743451355
A data structure in c plus plus which is a collection of data that is kept in order First in first out,a finite ordered list with zero or more elements based upon First In First Out,data structure c plus plus collection data kept order first first,finite ordered list zero elements based upon first first,5.0,3.7033196770106978
by rows,stored by rows,rows,stored rows,5.0,4.326617228216772
A tree data structure where each node has a value where the total order is defined on these values the left subtree contains only values less than the parent node and vice versa for the right subtree,a binary tree where the children are ordered such that the right side is greater than the current node and the left is less than or equal the current node,tree data structure node value total order defined values left subtree contains values less parent node vice versa right subtree,binary tree children ordered right side greater current node left less equal current node,5.0,4.148078152046063
log - LRB - log n - RRB - ; 2 to the power of - LRB - log n - RRB - ; n to the power of 2; n to the power of 3; n !,2 to the power of - LRB - log n - RRB - n to the power of 3 n to the power of 2 log - LRB - log n - RRB - n !,log lrb log n rrb power lrb log n rrb n power n power n,power lrb log n rrb n power n power log lrb log n rrb n,2.0,4.681306842364733
