answer,response,LABEL BENAR,HASIL BERT-ID,HASIL W2V-AVGCOS-RFR,HASIL FASTTEXT-AVGCOS-RFR,HASIL W2V-WMD-LINEAR
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi yang dibantu oleh komputer, seperti pembuatan vektor, komposisi karakter, dan sepertinya, semua dibuat atau dibantu oleh komputer",2.5,1.6139084,3.99599999999999,3.06,2.3617685575366
sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,suatu gambar yang baik dibuat melalui lukisan gambar yang dibuat oleh manusia maupun dengan menggunakan komputer yang dimana lapisan-lapisan gambar tersebut akan membentuk suatu gerakan seperti yang dilakukan di dunia nyatanya atau membentuk gerakan seperti gerakan asli.,5,1.30884,4.965,0.955,1.97838474714561
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"teknik pembuatan gambar bergerak yang dihasilkan secara digital menggunakan komputer. Animasi ini sering digunakan untuk menciptakan visualisasi kompleks yang sulit atau tidak mungkin direalisasikan secara tradisional. CGI umumnya digunakan dalam film, game, dan desain grafis untuk menciptakan adegan yang realistis, mulai dari karakter animasi, efek visual, hingga latar belakang yang mendetail.",5,1.14890935,4.8,3.41,2.60552666897024
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,sebuah proses membuat suatu animasi dengan perangkat komputer itu sendiri. Frame dan objek yang merupakan elemen dari sebuah animasi dibuat dengan bantuan komputer,2.5,1.9750965,3.295,3.545,3.05144752568492
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer","kumpulan gambar (frame) yang digabung menjadi satu hingga terciptanya kehidupan dari gabungan gambar tersebut, menggunakan berbagai prinsip untuk membuat suatu animasi menjadi hidup",3.5,0.7938224,3.0625,1.375,1.62087608602997
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,animasi yang dibuat dan dirender dengan menggunakan perangkat komputer (software dan hardware). Animasi dibuat dengan cara menggerakkan model (2D/3D) dalam komputer.,2.5,1.5644437,4.97,2.175,2.8528434590228
"animasi adalah menghidupkan, yaitu usaha untuk menggerakkan sesuatu yang tidak bisa bergerak sendiri dengan bantuan komputer","kegiatan, proses, atau hasil dari pemberian kehidupan pada suatu objek. Kegiatan pemberian kehidupan yang menggunakan komputer",3,1.3456987,1.625,0.345,0.753061852449836
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"suatu proses menghasilkan gerakan dengan membuat frame per frame objeknya animasi dengan komputer berarti penggunaan komputer untuk membuat suatu gerakan dengan menggunakan software untuk membuat dan mengatur frame per frame dari animasinya. Contohnya seperti 2D vector animation, 3D computer animation, dan motion graphics",5,1.773077,4.775,4.49,2.11045679343034
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"teknik animasi dengan menggunakan komputer sebagai pembantu manusia dalam menggambar dan merancang setiap karakter, waktu, dan semua aspek dalam pembuatan animasi atau cerita dari animasi yang akan dibangun, komputer akan memudahkan setiap penggambaran dari konsep animasi yang akan dibangun dengan menggunakan aplikasi dalam",2.5,1.1727938,5,2.3,2.34899496744358
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"proses membuat sebuah video yang dibuat tiap framenya secara berurutan dan membuat objek dalam framenya terlihat bergerak, dan proses ini dilakukan menggunakan software animasi komputer, baik itu animasi 2D (menggunakan after effect atau adobe flash), maupun animasi 3D (menggunakan blender)",5,1.8191394,4.42,3.12,2.8691628341955
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"proses menggambarnya tidak lagi dilakukan secara manual menggunakan kertas, melainkan menggunakan software editing di komputer yang didukung menggunakan graphic card",2.5,1.2433356,2.39,3.57999999999999,2.03156518777009
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"animasi yang dibuat menggunakan software komputer seperti blender, unity, roblox studio dan lain lain. Animasi dengan komputer lebih mudah karena berbagai fitur yang telah disediakan agar animasi terlihat lebih bagus.",2.5,1.560969,3.94999999999999,2.15,2.68871186552052
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"teknik menghasilkan gambar bergerak dengan menggunakan bantuan perangkat lunak komputer, baik dalam pembuatan animasi 2D (berbasis vektor), maupun animasi 3D (berbasis objek yang kemudian dirender)",5,1.9894655,5,1.94,3.15250482319656
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,pembuatan gambar bergerak secara digital dengan komputer menggunakan perangkat lunak,4,1.15409715,3.44,2.12,2.31523473389946
animasi adalah sebuah proses merekam dan memainkan kembali serangkaian gambar statis untuk mendapatkan sebuah ilusi pergerakan dengan bantuan komputer,"berarti kita sebagai animator membuat animasi ke serasa dunia atau versi digital dengan bantuan software atau perangkat lunak atau komputer sebagai tool. Animasi dengan komputer akan mempermudah para animator serta membantu animator yang tidak mempunyai bakat dalam menggambar sebab dengan bantuan komputer, karakter animasi yang dibuat dapat menggunakan tool sebagai alat bantuannya. dengan bantuan komputer, para animator tidak perlu lagi menggunakan frame per frame sebagaimana animasi tradisional, sebab dengan bantuan komputer, aimasi dapat dengan mudah membuat model karakter animasi dengan bantuan software, intinya adalah proses pembuatan animasi dengan menggunakan komputer sebagai toolnya.",2.5,2.8039047,5,2.635,3.17366541178339
