answer,response,label
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi yang berhubungan antara konsep dengan fakta.,4.5
Generalisasi dari hubungan antara fakta dengan konsep.,Generalisasi hubungan fakta & konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,suatu proses yang belum terjamin kesempurnaannya karena hasil dari otak kita sendiri,0
Generalisasi dari hubungan antara fakta dengan konsep.,suatu generalisasi hubungan antara fakta dan konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,Generalisasi dari hubungan antara fakta dan konsep.,5
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi dari hubungan antara fakta dan konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,Generalisasi dari hubungan antara fakta dan konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,Generalisasi hubungan antara fakta dan konsep.,5
Generalisasi dari hubungan antara fakta dengan konsep.,pemahaman pendirian yang dipegang teguh dan menjadi pedoman hidup,0
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi hubungan antara fakta dan konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,pedoman yang menghubungkan antara konsep dan fakta.,4
Generalisasi dari hubungan antara fakta dengan konsep.,penggabungan antara produk dan model.,1
Generalisasi dari hubungan antara fakta dengan konsep.,pemikiran yang ditetapkan.,0
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi hubungan antara fakta dan konsep.,5
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi dari hubungan antara fakta dan konsep,5
Generalisasi dari hubungan antara fakta dengan konsep.,generalisasi atau yang berhubungan dengan konsep dan fakta.,4
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Keadaan yang harus dijaga dalam penelitian agar tidak mempengaruhi variabel terikat.,3
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,langkah-langkah atau susunan penelitian,0
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang harus menetap selama melakukan penelitian agar tidak mengganggu variabel tetap sejenis.,2.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang harus dipertahankan selama penelitian,3
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang di kendalikan dan bersifat tetap.,2.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel yang besar kecilnya terkontrol oleh variabel lain.,0.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel yang ditetapkan sehingga variabel kontrol terikat.,1.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel yang dipertahankan.,2
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang berubah ubah bukan variabel tetap,0
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel yang dipertahankan dan tidak memengaruhi variabel terikat,1
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang terkontrol contohnya seperti air kecepatannya terkontrol.,4.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang tetap,1.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel bersifat tetap,2
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang harus dipertahankan tetap sehingga tidak mempengaruhi variabel terikat.,5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang dapat diatur atau dikontrol,1
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel terkontrol adalah,0
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang menetap dan tidak berubah selama melakukan penelitian.,2.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang angkanya tetap.,2
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel yang dipertahankan.,1.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel yang harus dipertahankan tetap agar tidak mempengaruhi variabel terikat.,5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,variabel tetap yang harus dipertahankan selama penelitian agar tidak terpengaruh oleh variabel terikat,4.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Adalah variabel tetap yang harus dipertahankan selama penelitian agar tidak berubah.,4
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,Variabel yang ditahan selama penelitian dan tidak memengaruhi variabel terikat.,4.5
variabel yang harus dipertahankan tetap selama penelitian sehingga tidak memengaruhi variabel terikat,langkah langkah atau susunan penelitian.,0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Fakta - Hukum - Model
Konsep - Rumus
Prinsip - Teori",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati, mengklasifikasikan, mengobservasi",1
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Pemahaman
Informasi",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati, mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merancang penelitian, menganalisis data, mengkomunikasi",4.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Observasi - Mengukur
Mengklasifikasi - Menyusun data
Membuat hipotesis - Membuat kesimpulan",1.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","mengamati, mengukur, mengklasifikasi, berkomunikasi",2.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati
Mengklasifikasi
Mengukur
Berkomunikasi",2.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Fakta, konsep, teori, rumus, materi, model",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Fakta 4. Hukum 7. Model
Konsep 5. Rumus
Prinsip 6. Teori",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","mengamati
mengukur
merumuskan hipotesis
mengklasifikasi mengerjakan penelitian",2.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengukur, mengklasifikasi, merumuskan masalah, membuat hipotesis, membuat pertanyaan",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan",Proses adalah suatu penelitian yang ditemukan oleh para ilmuwan.,2.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","objektif, metodik, sistematik",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Objektif, metodik, sistematik",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Unsur, model, rumus, prinsip, teori, fakta, konsep, mengukur.",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","rasa penasaran manusia, alam dan semesta, kehendak tuhan",0
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Observasi - Mengukur
Mengklasifikasi - Menyusun data
Membuat hipotesis - Membuat kesimpulan",2.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Fisika sebagai proses:
Pengamatan",0.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati (observasi)
Merumuskan masalah
Menyusun hipotesis",1.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati (observasi), mengukur, merumuskan hipotesis, mengajukan pertanyaan, merencanakan penelitian, mengklasifikasi, mengkomunikasikan.",4.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Unsur-unsur fisika sebagai proses adalah: mengamati, mengkaji, mengklarifikasi, mengkomunikasi, mengajukan pertanyaan, merumuskan hipotesis, merancangkan penelitian",3.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati, mengklarifikasi, mengkomunikasi, mengajukan pertanyaan, merumuskan hipotesis, dan merencanakan hipotesis.",2.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati, meneliti, melakukan eksperimen, memahami.",0.5
"mengamati (observasi), mengklasifikasi, mengukur, mengajukan pertanyaan, merumuskan hipotesis, merencanakan penelitian, menafsirkan data, Mengkomunikasikan","Mengamati, mengklasifikasikan, mengobservasi, mengkomunikasikan, mengajukan pertanyaan.",3.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,Bentuk suatu benda atau gambaran dari rumusan yang telah dibuat,2
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,untuk memahami suatu fenomena alam dan juga membantu teori,0.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,Representasi dari suatu benda.,1
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,representasi dari suatu benda / sistem yang dibuat untuk memudahkan pemahaman suatu benda,4.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,bentuk dari suatu benda,1.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,gambaran yang dapat membantu agar dapat lebih dipahami sebuah fenomena,3
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,Representasi dari suatu benda maupun sistem agar lebih mudah dipahami.,2.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,Representasi dari suatu benda yang menggambarkan suatu objek benda atau fenomena alam,2
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,gambaran dari suatu objek atau penemuan yang dibahas sehingga dapat memperjelas bentuknya,2.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,generasi dari hubungan antara fakta dan konsep,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,Suatu gambaran yang diamati,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,berbagai macam hal sains yang ditemukan dan banyak macam ragam.,0.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,memahami suatu fenomena alam dan juga membantu untuk memahami teori,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,untuk memahami suatu fenomena alam dan juga membantu untuk memahami teori,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,gambaran dari sebuah produk yang sedang diteliti.,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,sesuatu yang menarik dan indah jika dipandang,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,objek yang akan di teliti,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,bentuk atau representasi dari suatu benda.,1
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,penggabungan antara prinsip dan produk.,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,bentuk atau rupa awal dari teori yang dipelajari.,0
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,reseptilisasi mengenai suatu benda yang dibuat melalui gambaran.,2.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,suatu gambaran dari suatu penelitian agar mudah dipahami,3
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,suatu gambaran dari suatu penelitian agar mudah dipahami.,1.5
Representasi dari suatu benda atau sistem yang dibuat sebagai gambaran untuk memudahkan pemahaman suatu benda atau fenomena alam.,Gambaran suatu ilmu sains.,0.5
